"train/global_step","rare-sunset-210 - _step","rare-sunset-210 - _step__MIN","rare-sunset-210 - _step__MAX","rare-sunset-210 - train/rewards/wrapped_reward/mean","rare-sunset-210 - train/rewards/wrapped_reward/mean__MIN","rare-sunset-210 - train/rewards/wrapped_reward/mean__MAX","royal-water-208 - _step","royal-water-208 - _step__MIN","royal-water-208 - _step__MAX","royal-water-208 - train/rewards/wrapped_reward/mean","royal-water-208 - train/rewards/wrapped_reward/mean__MIN","royal-water-208 - train/rewards/wrapped_reward/mean__MAX"
"123","1966","1966","1966","0.4375","0.4375","0.4375","1966","1966","1966","0.6875","0.6875","0.6875"
"124","1982","1982","1982","0.3125","0.3125","0.3125","1982","1982","1982","0.78125","0.78125","0.78125"
"125","1998","1998","1998","0.5","0.5","0.5","1998","1998","1998","0.5","0.5","0.5"
"126","2014","2014","2014","0.4375","0.4375","0.4375","2014","2014","2014","0.59375","0.59375","0.59375"
"127","2030","2030","2030","0.34375","0.34375","0.34375","2030","2030","2030","0.375","0.375","0.375"
"128","2046","2046","2046","0.3125","0.3125","0.3125","2046","2046","2046","0.34375","0.34375","0.34375"
"129","2062","2062","2062","0.46875","0.46875","0.46875","2062","2062","2062","0.40625","0.40625","0.40625"
"130","2078","2078","2078","0.28125","0.28125","0.28125","2078","2078","2078","0.53125","0.53125","0.53125"
"131","2094","2094","2094","0.4375","0.4375","0.4375","2094","2094","2094","0.59375","0.59375","0.59375"
"132","2110","2110","2110","0.1875","0.1875","0.1875","2110","2110","2110","0.6875","0.6875","0.6875"
"133","2126","2126","2126","0.40625","0.40625","0.40625","2126","2126","2126","0.6875","0.6875","0.6875"
"134","2142","2142","2142","0.6875","0.6875","0.6875","2142","2142","2142","0.4375","0.4375","0.4375"
"135","2158","2158","2158","0.59375","0.59375","0.59375","2158","2158","2158","0.375","0.375","0.375"
"136","2174","2174","2174","0.53125","0.53125","0.53125","2174","2174","2174","0.40625","0.40625","0.40625"
"137","2190","2190","2190","0.375","0.375","0.375","2190","2190","2190","0.34375","0.34375","0.34375"
"138","2206","2206","2206","0.5625","0.5625","0.5625","2206","2206","2206","0.625","0.625","0.625"
"139","2222","2222","2222","0.46875","0.46875","0.46875","2222","2222","2222","0.4375","0.4375","0.4375"
"140","2238","2238","2238","0.59375","0.59375","0.59375","2238","2238","2238","0.375","0.375","0.375"
"141","2254","2254","2254","0.15625","0.15625","0.15625","2254","2254","2254","0.625","0.625","0.625"
"142","2270","2270","2270","0.40625","0.40625","0.40625","2270","2270","2270","0.5625","0.5625","0.5625"
"143","2286","2286","2286","0.5","0.5","0.5","2286","2286","2286","0.59375","0.59375","0.59375"
"144","2302","2302","2302","0.59375","0.59375","0.59375","2302","2302","2302","0.5625","0.5625","0.5625"
"145","2318","2318","2318","0.25","0.25","0.25","2318","2318","2318","0.1875","0.1875","0.1875"
"146","2334","2334","2334","0.15625","0.15625","0.15625","2334","2334","2334","0.59375","0.59375","0.59375"
"147","2350","2350","2350","0.25","0.25","0.25","2350","2350","2350","0.625","0.625","0.625"
"148","2366","2366","2366","0.25","0.25","0.25","2366","2366","2366","0.59375","0.59375","0.59375"
"149","2382","2382","2382","0.40625","0.40625","0.40625","2382","2382","2382","0.6875","0.6875","0.6875"
"150","2398","2398","2398","0.75","0.75","0.75","2398","2398","2398","0.34375","0.34375","0.34375"
"151","2414","2414","2414","0.5","0.5","0.5","2414","2414","2414","0.625","0.625","0.625"
"152","2430","2430","2430","0.28125","0.28125","0.28125","2430","2430","2430","0.40625","0.40625","0.40625"
"153","2446","2446","2446","0.53125","0.53125","0.53125","2446","2446","2446","0.75","0.75","0.75"
"154","2462","2462","2462","0.34375","0.34375","0.34375","2462","2462","2462","0.46875","0.46875","0.46875"
"155","2478","2478","2478","0.4375","0.4375","0.4375","2478","2478","2478","0.6875","0.6875","0.6875"
"156","2494","2494","2494","0.21875","0.21875","0.21875","2494","2494","2494","0.65625","0.65625","0.65625"
"157","2510","2510","2510","0.03125","0.03125","0.03125","2510","2510","2510","0.4375","0.4375","0.4375"
"158","2526","2526","2526","0.3125","0.3125","0.3125","2526","2526","2526","0.40625","0.40625","0.40625"
"159","2542","2542","2542","0.28125","0.28125","0.28125","2542","2542","2542","0.53125","0.53125","0.53125"
"160","2558","2558","2558","0.375","0.375","0.375","2558","2558","2558","0.625","0.625","0.625"
"161","2574","2574","2574","0.15625","0.15625","0.15625","2574","2574","2574","0.5","0.5","0.5"
"162","2590","2590","2590","0.59375","0.59375","0.59375","2590","2590","2590","0.5625","0.5625","0.5625"
"163","2606","2606","2606","0.34375","0.34375","0.34375","2606","2606","2606","0.65625","0.65625","0.65625"
"164","2622","2622","2622","0.4375","0.4375","0.4375","2622","2622","2622","0.8125","0.8125","0.8125"
"165","2638","2638","2638","0.59375","0.59375","0.59375","2638","2638","2638","0.75","0.75","0.75"
"166","2654","2654","2654","0.4375","0.4375","0.4375","2654","2654","2654","0.78125","0.78125","0.78125"
"167","2670","2670","2670","0.21875","0.21875","0.21875","2670","2670","2670","0.6875","0.6875","0.6875"
"168","2686","2686","2686","0.3125","0.3125","0.3125","2686","2686","2686","0.65625","0.65625","0.65625"
"169","2702","2702","2702","0.53125","0.53125","0.53125","2702","2702","2702","0.65625","0.65625","0.65625"
"170","2718","2718","2718","0.25","0.25","0.25","2718","2718","2718","0.59375","0.59375","0.59375"
"171","2734","2734","2734","0.53125","0.53125","0.53125","2734","2734","2734","0.59375","0.59375","0.59375"
"172","2750","2750","2750","0.40625","0.40625","0.40625","2750","2750","2750","0.375","0.375","0.375"
"173","2766","2766","2766","0.46875","0.46875","0.46875","2766","2766","2766","0.65625","0.65625","0.65625"
"174","2782","2782","2782","0.34375","0.34375","0.34375","2782","2782","2782","0.5625","0.5625","0.5625"
"175","2798","2798","2798","0.53125","0.53125","0.53125","2798","2798","2798","0.4375","0.4375","0.4375"
"176","2814","2814","2814","0.53125","0.53125","0.53125","2814","2814","2814","0.5","0.5","0.5"
"177","2830","2830","2830","0.375","0.375","0.375","2830","2830","2830","0.46875","0.46875","0.46875"
"178","2846","2846","2846","0.375","0.375","0.375","2846","2846","2846","0.84375","0.84375","0.84375"
"179","2862","2862","2862","0.375","0.375","0.375","2862","2862","2862","0.59375","0.59375","0.59375"
"180","2878","2878","2878","0.28125","0.28125","0.28125","2878","2878","2878","0.75","0.75","0.75"
"181","2894","2894","2894","0.5","0.5","0.5","2894","2894","2894","0.75","0.75","0.75"
"182","2910","2910","2910","0.5625","0.5625","0.5625","2910","2910","2910","0.78125","0.78125","0.78125"
"183","2926","2926","2926","0.53125","0.53125","0.53125","2926","2926","2926","0.9375","0.9375","0.9375"
"184","2942","2942","2942","0.46875","0.46875","0.46875","2942","2942","2942","0.34375","0.34375","0.34375"
"185","2958","2958","2958","0.375","0.375","0.375","2958","2958","2958","0.53125","0.53125","0.53125"
"186","2974","2974","2974","0.4375","0.4375","0.4375","2974","2974","2974","0.6875","0.6875","0.6875"
"187","2990","2990","2990","0.5","0.5","0.5","2990","2990","2990","0.625","0.625","0.625"
"188","3006","3006","3006","0.21875","0.21875","0.21875","3006","3006","3006","0.75","0.75","0.75"
"189","3022","3022","3022","0.59375","0.59375","0.59375","3022","3022","3022","0.5625","0.5625","0.5625"
"190","3038","3038","3038","0.6875","0.6875","0.6875","3038","3038","3038","0.53125","0.53125","0.53125"
"191","3054","3054","3054","0.40625","0.40625","0.40625","3054","3054","3054","0.8125","0.8125","0.8125"
"192","3070","3070","3070","0.375","0.375","0.375","3070","3070","3070","0.6875","0.6875","0.6875"
"193","3086","3086","3086","0.59375","0.59375","0.59375","3086","3086","3086","0.71875","0.71875","0.71875"
"194","3102","3102","3102","0.46875","0.46875","0.46875","3102","3102","3102","0.71875","0.71875","0.71875"
"195","3118","3118","3118","0.46875","0.46875","0.46875","3118","3118","3118","0.71875","0.71875","0.71875"
"196","3134","3134","3134","0.59375","0.59375","0.59375","3134","3134","3134","0.8125","0.8125","0.8125"
"197","3150","3150","3150","0.53125","0.53125","0.53125","3150","3150","3150","0.6875","0.6875","0.6875"
"198","3166","3166","3166","0.5625","0.5625","0.5625","3166","3166","3166","0.71875","0.71875","0.71875"
"199","3182","3182","3182","0.21875","0.21875","0.21875","3182","3182","3182","0.75","0.75","0.75"
"200","3198","3198","3198","0.53125","0.53125","0.53125","3198","3198","3198","0.59375","0.59375","0.59375"
"201","3214","3214","3214","0.4375","0.4375","0.4375","3214","3214","3214","0.78125","0.78125","0.78125"
"202","3230","3230","3230","0.46875","0.46875","0.46875","3230","3230","3230","0.6875","0.6875","0.6875"
"203","3246","3246","3246","0.65625","0.65625","0.65625","3246","3246","3246","0.53125","0.53125","0.53125"
"204","3262","3262","3262","0.5","0.5","0.5","3262","3262","3262","0.8125","0.8125","0.8125"
"205","3278","3278","3278","0.5","0.5","0.5","3278","3278","3278","0.625","0.625","0.625"
"206","3294","3294","3294","0.53125","0.53125","0.53125","3294","3294","3294","0.8125","0.8125","0.8125"
"207","3310","3310","3310","0.3125","0.3125","0.3125","3310","3310","3310","0.5625","0.5625","0.5625"
"208","3326","3326","3326","0.15625","0.15625","0.15625","3326","3326","3326","0.78125","0.78125","0.78125"
"209","3342","3342","3342","0.53125","0.53125","0.53125","3342","3342","3342","0.6875","0.6875","0.6875"
"210","3358","3358","3358","0.46875","0.46875","0.46875","3358","3358","3358","0.375","0.375","0.375"
"211","3374","3374","3374","0.34375","0.34375","0.34375","3374","3374","3374","0.59375","0.59375","0.59375"
"212","3390","3390","3390","0.5625","0.5625","0.5625","3390","3390","3390","0.90625","0.90625","0.90625"
"213","3406","3406","3406","0.46875","0.46875","0.46875","3406","3406","3406","0.625","0.625","0.625"
"214","3422","3422","3422","0.375","0.375","0.375","3422","3422","3422","0.5","0.5","0.5"
"215","3438","3438","3438","0.59375","0.59375","0.59375","3438","3438","3438","0.875","0.875","0.875"
"216","3454","3454","3454","0.4375","0.4375","0.4375","3454","3454","3454","0.40625","0.40625","0.40625"
"217","3470","3470","3470","0.625","0.625","0.625","3470","3470","3470","0.78125","0.78125","0.78125"
"218","3486","3486","3486","0.5","0.5","0.5","3486","3486","3486","0.8125","0.8125","0.8125"
"219","3502","3502","3502","0.4375","0.4375","0.4375","3502","3502","3502","0.625","0.625","0.625"
"220","3518","3518","3518","0.65625","0.65625","0.65625","3518","3518","3518","0.625","0.625","0.625"
"221","3534","3534","3534","0.46875","0.46875","0.46875","3534","3534","3534","0.78125","0.78125","0.78125"
"222","3550","3550","3550","0.46875","0.46875","0.46875","3550","3550","3550","0.4375","0.4375","0.4375"
"223","3566","3566","3566","0.40625","0.40625","0.40625","3566","3566","3566","0.625","0.625","0.625"
"224","3582","3582","3582","0.59375","0.59375","0.59375","3582","3582","3582","0.65625","0.65625","0.65625"
"225","3598","3598","3598","0.34375","0.34375","0.34375","3598","3598","3598","0.53125","0.53125","0.53125"
"226","3614","3614","3614","0.625","0.625","0.625","3614","3614","3614","0.5625","0.5625","0.5625"
"227","3630","3630","3630","0.3125","0.3125","0.3125","3630","3630","3630","0.625","0.625","0.625"
"228","3646","3646","3646","0.59375","0.59375","0.59375","3646","3646","3646","0.90625","0.90625","0.90625"
"229","3662","3662","3662","0.71875","0.71875","0.71875","3662","3662","3662","0.8125","0.8125","0.8125"
"230","3678","3678","3678","0.625","0.625","0.625","3678","3678","3678","0.53125","0.53125","0.53125"
"231","3694","3694","3694","0.40625","0.40625","0.40625","3694","3694","3694","1","1","1"
"232","3710","3710","3710","0.59375","0.59375","0.59375","3710","3710","3710","0.71875","0.71875","0.71875"
"233","3726","3726","3726","0.375","0.375","0.375","3726","3726","3726","0.65625","0.65625","0.65625"
"234","3742","3742","3742","0.5","0.5","0.5","3742","3742","3742","0.46875","0.46875","0.46875"
"235","3758","3758","3758","0.4375","0.4375","0.4375","3758","3758","3758","0.90625","0.90625","0.90625"
"236","3774","3774","3774","0.4375","0.4375","0.4375","3774","3774","3774","0.78125","0.78125","0.78125"
"237","3790","3790","3790","0.65625","0.65625","0.65625","3790","3790","3790","0.71875","0.71875","0.71875"
"238","3806","3806","3806","0.5625","0.5625","0.5625","3806","3806","3806","0.75","0.75","0.75"
"239","3822","3822","3822","0.75","0.75","0.75","3822","3822","3822","0.6875","0.6875","0.6875"
"240","3838","3838","3838","0.4375","0.4375","0.4375","3838","3838","3838","0.625","0.625","0.625"
"241","3854","3854","3854","0.5","0.5","0.5","3854","3854","3854","0.6875","0.6875","0.6875"
"242","3870","3870","3870","0.4375","0.4375","0.4375","3870","3870","3870","0.65625","0.65625","0.65625"
"243","3886","3886","3886","0.3125","0.3125","0.3125","3886","3886","3886","0.53125","0.53125","0.53125"
"244","3902","3902","3902","0.65625","0.65625","0.65625","3902","3902","3902","0.6875","0.6875","0.6875"
"245","3918","3918","3918","0.59375","0.59375","0.59375","3918","3918","3918","0.34375","0.34375","0.34375"
"246","3934","3934","3934","0.625","0.625","0.625","3934","3934","3934","0.875","0.875","0.875"
"247","3950","3950","3950","0.4375","0.4375","0.4375","3950","3950","3950","0.4375","0.4375","0.4375"
"248","3966","3966","3966","0.25","0.25","0.25","3966","3966","3966","0.59375","0.59375","0.59375"
"249","3982","3982","3982","0.65625","0.65625","0.65625","3982","3982","3982","0.4375","0.4375","0.4375"
"250","3998","3998","3998","0.34375","0.34375","0.34375","3998","3998","3998","0.5","0.5","0.5"
"251","4014","4014","4014","0.75","0.75","0.75","4014","4014","4014","0.65625","0.65625","0.65625"
"252","4030","4030","4030","0.75","0.75","0.75","4030","4030","4030","0.625","0.625","0.625"
"253","4046","4046","4046","0.5","0.5","0.5","4046","4046","4046","0.875","0.875","0.875"
"254","4062","4062","4062","0.53125","0.53125","0.53125","4062","4062","4062","0.53125","0.53125","0.53125"
"255","4078","4078","4078","0.40625","0.40625","0.40625","4078","4078","4078","0.53125","0.53125","0.53125"
"256","4094","4094","4094","0.53125","0.53125","0.53125","4094","4094","4094","0.78125","0.78125","0.78125"
"257","4110","4110","4110","0.40625","0.40625","0.40625","4110","4110","4110","0.96875","0.96875","0.96875"
"258","4126","4126","4126","0.6875","0.6875","0.6875","4126","4126","4126","0.9375","0.9375","0.9375"
"259","4142","4142","4142","0.53125","0.53125","0.53125","4142","4142","4142","0.75","0.75","0.75"
"260","4158","4158","4158","0.53125","0.53125","0.53125","4158","4158","4158","0.84375","0.84375","0.84375"
"261","4174","4174","4174","0.53125","0.53125","0.53125","4174","4174","4174","0.5625","0.5625","0.5625"
"262","4190","4190","4190","0.5","0.5","0.5","4190","4190","4190","0.8125","0.8125","0.8125"
"263","4206","4206","4206","0.71875","0.71875","0.71875","4206","4206","4206","0.5625","0.5625","0.5625"
"264","4222","4222","4222","0.59375","0.59375","0.59375","4222","4222","4222","0.71875","0.71875","0.71875"
"265","4238","4238","4238","0.375","0.375","0.375","4238","4238","4238","0.9375","0.9375","0.9375"
"266","4254","4254","4254","0.5625","0.5625","0.5625","4254","4254","4254","0.625","0.625","0.625"
"267","4270","4270","4270","0.5","0.5","0.5","4270","4270","4270","0.71875","0.71875","0.71875"
"268","4286","4286","4286","0.6875","0.6875","0.6875","4286","4286","4286","0.75","0.75","0.75"
