"Step","news_inference/train_easy_2e-6 - response_length/mean","news_inference/train_easy_2e-6 - response_length/mean__MIN","news_inference/train_easy_2e-6 - response_length/mean__MAX","news_inference/train_easy_kl_1e-4 - response_length/mean","news_inference/train_easy_kl_1e-4 - response_length/mean__MIN","news_inference/train_easy_kl_1e-4 - response_length/mean__MAX"
"141","57.93281173706055","57.93281173706055","57.93281173706055","93.9156265258789","93.9156265258789","93.9156265258789"
"142","57.10468673706055","57.10468673706055","57.10468673706055","94.52030944824219","94.52030944824219","94.52030944824219"
"143","","","","89.71875","89.71875","89.71875"
"144","","","","86.3734359741211","86.3734359741211","86.3734359741211"
"145","","","","88.5250015258789","88.5250015258789","88.5250015258789"
"146","","","","90.4296875","90.4296875","90.4296875"
"147","","","","94.6234359741211","94.6234359741211","94.6234359741211"
"148","","","","94.66719055175781","94.66719055175781","94.66719055175781"
"149","","","","98.9046859741211","98.9046859741211","98.9046859741211"
"150","","","","99.390625","99.390625","99.390625"
"151","","","","102.12031555175781","102.12031555175781","102.12031555175781"
"152","","","","102.90937805175781","102.90937805175781","102.90937805175781"
"153","","","","103.29374694824219","103.29374694824219","103.29374694824219"
"154","","","","100.7671890258789","100.7671890258789","100.7671890258789"
"155","","","","102.99531555175781","102.99531555175781","102.99531555175781"
"156","","","","102.4625015258789","102.4625015258789","102.4625015258789"
"157","","","","106.6546859741211","106.6546859741211","106.6546859741211"
"158","","","","108.6500015258789","108.6500015258789","108.6500015258789"
"159","","","","103.3812484741211","103.3812484741211","103.3812484741211"
"160","","","","101.0718765258789","101.0718765258789","101.0718765258789"
"161","","","","98.890625","98.890625","98.890625"
"162","","","","97.7406234741211","97.7406234741211","97.7406234741211"
"163","","","","97.7328109741211","97.7328109741211","97.7328109741211"
"164","","","","100.53125","100.53125","100.53125"
"165","","","","98.5328140258789","98.5328140258789","98.5328140258789"
"166","","","","105.0374984741211","105.0374984741211","105.0374984741211"
"167","","","","108.8656234741211","108.8656234741211","108.8656234741211"
"168","","","","118.5062484741211","118.5062484741211","118.5062484741211"
"169","","","","129.92813110351562","129.92813110351562","129.92813110351562"
"170","","","","112.12187194824219","112.12187194824219","112.12187194824219"
"171","","","","108.8046875","108.8046875","108.8046875"
"172","","","","107.1468734741211","107.1468734741211","107.1468734741211"
"173","","","","107.37812805175781","107.37812805175781","107.37812805175781"
"174","","","","108.3453140258789","108.3453140258789","108.3453140258789"
"175","","","","109.51249694824219","109.51249694824219","109.51249694824219"
"176","","","","107.5171890258789","107.5171890258789","107.5171890258789"
"177","","","","110.7484359741211","110.7484359741211","110.7484359741211"
"178","","","","108.1015625","108.1015625","108.1015625"
"179","","","","97.84375","97.84375","97.84375"
"180","","","","93.57499694824219","93.57499694824219","93.57499694824219"
"181","","","","92.52656555175781","92.52656555175781","92.52656555175781"
"182","","","","91.1796875","91.1796875","91.1796875"
"183","","","","89.64530944824219","89.64530944824219","89.64530944824219"
"184","","","","91.24531555175781","91.24531555175781","91.24531555175781"
"185","","","","92.2203140258789","92.2203140258789","92.2203140258789"
"186","","","","100.4203109741211","100.4203109741211","100.4203109741211"
"187","","","","97.70625305175781","97.70625305175781","97.70625305175781"
"188","","","","90.0234375","90.0234375","90.0234375"
"189","","","","89.5296859741211","89.5296859741211","89.5296859741211"
"190","","","","94.7171859741211","94.7171859741211","94.7171859741211"
"191","","","","93.70780944824219","93.70780944824219","93.70780944824219"
"192","","","","100.1624984741211","100.1624984741211","100.1624984741211"
"193","","","","101.92500305175781","101.92500305175781","101.92500305175781"
"194","","","","111.8203125","111.8203125","111.8203125"
"195","","","","114.44218444824219","114.44218444824219","114.44218444824219"
"196","","","","113.0953140258789","113.0953140258789","113.0953140258789"
"197","","","","110.70625305175781","110.70625305175781","110.70625305175781"
"198","","","","105.42655944824219","105.42655944824219","105.42655944824219"
"199","","","","103.53125","103.53125","103.53125"
"200","","","","100.57499694824219","100.57499694824219","100.57499694824219"
"201","","","","151.53750610351562","151.53750610351562","151.53750610351562"
